english,somali
English sentence 1,Somali sentence 1
English sentence 2,Somali sentence 2
English sentence 3,Somali sentence 3
English sentence 4,Somali sentence 4
English sentence 5,Somali sentence 5
English sentence 6,Somali sentence 6
English sentence 7,Somali sentence 7
English sentence 8,Somali sentence 8
English sentence 9,Somali sentence 9
English sentence 10,Somali sentence 10
English sentence 11,Somali sentence 11
English sentence 12,Somali sentence 12
English sentence 13,Somali sentence 13
English sentence 14,Somali sentence 14
English sentence 15,Somali sentence 15
English sentence 16,Somali sentence 16
English sentence 17,Somali sentence 17
English sentence 18,Somali sentence 18
English sentence 19,Somali sentence 19
English sentence 20,Somali sentence 20
English sentence 21,Somali sentence 21
English sentence 22,Somali sentence 22
English sentence 23,Somali sentence 23
English sentence 24,Somali sentence 24
English sentence 25,Somali sentence 25
English sentence 26,Somali sentence 26
English sentence 27,Somali sentence 27
English sentence 28,Somali sentence 28
English sentence 29,Somali sentence 29
English sentence 30,Somali sentence 30
