_id,english,somali
6810e37ec93e59710861df86,"In its first year, the Translation Workspace increased the amount of translated words six-fold (from January 2011 to January 2012).","Sannadkii ugu horreeyay, Goobta Shaqada ee Turjumaadda waxay lix jibaartay tirada ereyada la turjumay (laga bilaabo Janaayo 2011 ilaa Janaayo 2012)."
6810e37ec93e59710861df87,The Ministry of Information will be empowered to censor websites and social media pages found in violation of the regulation.,Wasaaradda Warfaafinta waxaa la siin doonaa awood ay ku xayiraan boggaga internetka iyo baraha bulshada ee lagu helo inay jabiyeen xeerka.
6810e37ec93e59710861df88,"A satellite image shows what looks like a suspected pipe from the company’s facility linked to Feeane, the community river.","Sawir dayax-gacmeed ayaa muujinaya wax u eg tuubo laga shakiyay oo ka timid xarunta shirkadda oo ku xidhan Feeane, oo ah wabiga bulshada."
6810e37ec93e59710861df89,"The villagers have sued the mine over this issue, and the case is pending in the High Court of Lesotho.","Dadka tuulada ayaa dacwad ka gudbiyay macdanta arrintan, dacwadduna waxay taallaa Maxkamadda Sare ee Lesotho."
6810e37ec93e59710861df8a,Gem Diamonds reportedly paid USD 118.5 million for the company after De Beers operated the mine from 1977 to 1982.,Sida la sheegay Gem Diamonds waxay shirkadda ku iibsatay USD 118.5 milyan ka dib markii De Beers ay macdanta ka shaqeyneysay 1977 ilaa 1982.
6810e37ec93e59710861df8b,"In 2005 329 people died from Marburg in Angola's northern town of Uige, close to the border with DR Congo.","Sannadkii 2005, 329 qof ayaa u geeriyooday cudurka Marburg ee magaalada Uige ee waqooyiga Angola, oo u dhow xudduudda Jamhuuriyadda Dimuqraadiga ah ee Congo."
6810e37ec93e59710861df8c,We are in fact witness to a collective dynamic of all the components of the country's defence and security forces.,Runtii waxaan markhaati ka nahay isku-dhafka firfircoon ee dhammaan qaybaha ciidamada difaaca iyo amniga dalka.
6810e37ec93e59710861df8d,"The most recent case is that of Virgile Ahouansè, journalist and news director for the online radio station, Crystal News.","Kiiska ugu dambeeyay waa kan Virgile Ahouansè, wariye iyo agaasimaha wararka ee idaacadda internetka ee Crystal News."
6810e37ec93e59710861df8e,"Each researcher used and evaluated the app in their home country, and wrote a brief case study summarizing their findings.","Cilmi-baare kastaa wuxuu adeegsaday oo qiimeeyay abka waddankiisa hooyo, wuxuuna qoray daraasad kiis gaaban oo soo koobaysa natiijooyinkooda."
6810e37ec93e59710861df8f,"Based on an interactive map of fibre optic cables, it’s clear that South Africa is in a relatively good position.","Marka loo eego khariidadda is-dhexgalka ee fiilooyinka fiber optic-ga, waa iska cadahay in Koonfur Afrika ay ku jirto xaalad wanaagsan."
6810e37ec93e59710861df90,"Another cause is accidents involving fishing boats and the impact of dragging their anchors, which represents two-thirds of all failures.","Sabab kale waa shilalka ku dhaca doonyaha kalluumeysiga iyo saameynta jiidista barroosinnadooda, taas oo ka dhigan laba meelood saddex meelood oo dhammaan guuldarrooyinka."
6810e37ec93e59710861df91,The prosecutor accused them to have published the findings of his own investigation into  the embezzlement in the cocoa-coffee sector.,Xeer ilaaliyaha ayaa ku eedeeyay inay faafiyeen natiijooyinka baaritaankiisa ku saabsan musuqmaasuqa ka dhacay qaybta kookaha iyo bunka.
6810e37ec93e59710861df92,I often speak about my grandfather (now about 92) who can read and write in Yorùbá but not in English.,Waxaan inta badan ka hadlaa awoowgay (hada qiyaastii 92 jir) kaas oo akhrin iyo qorin kara af-Yorùbá laakiin aan ku qori karin Ingiriis.
6810e37ec93e59710861df93,"The piece looks at the conflict over Migingo island in Lake Victoria, which is claimed by both Uganda and Kenya.","Qoraalkan wuxuu eegayaa khilaafka ka taagan jasiiradda Migingo ee ku taal harada Victoria, oo ay sheeganayaan labada dal ee Uganda iyo Kenya."
6810e37ec93e59710861df94,"In the coming weeks, we hope to highlight each individual with a special piece of writing, art, poetry, or video.","Toddobaadyada soo socda, waxaan rajeyneynaa inaan iftiimino qof kasta oo shaqsi ah oo leh qoraal gaar ah, farshaxan, gabay, ama muuqaal."
6810e37ec93e59710861df95,"By this, we seek never to forget and to keep their voices loud and strong, until they are free again.","Annagoo tan u marayna, waxaan dooneynaa inaan marnaba illowno oo aan codkooda kor u qaadno oo xoog yeelno, ilaa ay xoroobaan mar kale."
6810e37ec93e59710861df96,"It also described at least 70 cases of “arbitrary detention,” and prisoners held at irregular secret sites by intelligence services.","Waxa kale oo ay ku sharraxday ugu yaraan 70 kiis oo ah ""xarig sharci darro ah,"" iyo maxaabiis lagu hayay xarumo qarsoodi ah oo aan caadi ahayn oo ay leeyihiin hay'adaha sirdoonka."
6810e37ec93e59710861df97,"Within 15 to 90 minutes, an “answer agent” (an actual person working behind the scenes) responds with a voice answer.","Gudaha 15 ilaa 90 daqiiqo gudahood, ""wakiil jawaab"" (qof dhab ah oo ka shaqeeya gadaasha) ayaa ku jawaabaya cod."
6810e37ec93e59710861df98,"The following day, they were transferred to the civil prison in Lomé for spreading false information and incitement to revolt.","Maalintii xigtay, waxaa loo wareejiyay xabsiga rayidka ee Lomé iyagoo lagu eedeeyay faafinta warar been abuur ah iyo kicin kacdoon."
6810e37ec93e59710861df99,I think a lot of institutions and governments can learn from the type of work FMM and similar organizations do.,Waxaan u maleynayaa in hay'ado iyo dowlado badan ay wax ka baran karaan nooca shaqada ay qabtaan FMM iyo ururada la midka ah.
6810e37ec93e59710861df9a,"CB: In a lot of ways, too many for a century, which is how long a human life can last.","CB: Siyaabo badan, aad u badan qarni, waana inta cimriga bini'aadamku socon karo."
6810e37ec93e59710861df9b,"So, after they have been deprived of liberty for two weeks, their newspaper will not appear for two weeks also.","Marka, ka dib marka xorriyadooda laga qaado muddo laba toddobaad ah, wargeyskoodu sidoo kale ma soo bixi doono muddo laba toddobaad ah."
6810e37ec93e59710861df9c,"Last week, the U.S. Embassy issued a statement in response that expressed concern and emphasized the importance of press freedom.","Toddobaadkii hore, Safaaradda Mareykanka waxay soo saartay bayaan jawaab ah oo muujinaya walaac iyo xoojinta muhiimadda xorriyadda saxaafadda."
6810e37ec93e59710861df9d,"Sena is a young Togolese man, born and raised in France, who wishes to stay true to his African roots.","Sena waa nin dhalinyaro ah oo reer Togo ah, ku dhashay kuna koray Faransiiska, kaas oo doonaya inuu daacad u ahaado xididdadiisa Afrika."
6810e37ec93e59710861df9e,"Jordanians continue to join the #sidibouzid Twitter conversation (covering the events in Tunisia), as well as their own #angryjordan hashtag.","Reer Urdun waxay sii wadaan inay ku biiraan wadahadalka Twitter-ka ee #sidibouzid (oo daboolaya dhacdooyinka ka dhacaya Tunisia), iyo sidoo kale hashtag-gooda #angryjordan."
6810e37ec93e59710861df9f,"Incredible amounts of data are produced every day, by a wide range of stakeholders: governments, media, mobile operators, citizens themselves.","Xog aad u tiro badan ayaa maalin walba la soo saaraa, oo ay soo saaraan daneeyayaal kala duwan: dowladaha, warbaahinta, shirkadaha isgaarsiinta, iyo muwaadiniinta laftooda."
6810e37ec93e59710861dfa0,"Despite evidence of corruption, the president of the ALDE party, Guy Verhofstadt, removed any debate about it from the agenda.","Inkastoo ay jiraan caddaymo muujinaya musuqmaasuq, madaxweynaha xisbiga ALDE, Guy Verhofstadt, ayaa ka saaray ajandaha dood kasta oo arrintan ku saabsan."
6810e37ec93e59710861dfa1,"The real extent of the devastation and the impact on human, animal and plant life is yet to be assessed.","Baaxadda dhabta ah ee burburka iyo saameynta uu ku yeeshay nolosha aadanaha, xayawaanka iyo dhirta weli lama qiimeyn."
6810e37ec93e59710861dfa2,"Deng also hails from Wau, South Sudan, a country scarred by poverty and the aftermath of a recent civil war.","Deng sidoo kale wuxuu ka soo jeedaa Wau, Koonfurta Suudaan, oo ah waddan ay aafeeyeen saboolnimo iyo cawaaqib xumada ka dhalatay dagaal sokeeye oo dhawaan dhacay."
6810e37ec93e59710861dfa3,"In Burkina Faso, Boukari Ouédraogo, an Ouagadougou blogger, is convinced of the added value of sports for his country's economy.","Burkina Faso, Boukari Ouédraogo, oo ah qoraa blog ah oo ku nool Ouagadougou, ayaa ku qanacsan qiimaha dheeraadka ah ee isboortigu u leeyahay dhaqaalaha dalkiisa."
6810e37ec93e59710861dfa4,(A note to tourists: Fez Food has teamed up with Association ENNAHDA to offer the experience in the city of Fez.),(Ogeysiis loogu talagalay dalxiisayaasha: Fez Food waxay la kaashatay Ururka ENNAHDA si ay u bixiso khibradda magaalada Fez.)
6810e37ec93e59710861dfa5,Anger was also fed by President Paul Biya's attempt to change the constitution so he could sit for a third term.,Caro ayaa sidoo kale ka dhalatay isku daygii Madaxweyne Paul Biya uu ku doonayay inuu wax ka beddelo dastuurka si uu ugu fadhiisto muddo xileed saddexaad.
6810e37ec93e59710861dfa6,Three foundations have joined forces in an effort to provide better healthcare through the use of cell phones and computer technology.,Saddex hay'adood ayaa iska kaashaday dadaal lagu doonayo in lagu bixiyo daryeel caafimaad oo wanaagsan iyadoo la adeegsanayo taleefannada gacanta iyo tiknoolajiyada kombuyuutarka.
6810e37ec93e59710861dfa7,"Linking to other Nepalese bloggers, Bhumika's article shows how corruption in Nepal affects the economy, governance, public works, and even marriage.","Isku xirka baloogyada kale ee Nepal, maqaalka Bhumika wuxuu muujinayaa sida musuqmaasuqa Nepal uu u saameeyo dhaqaalaha, maamulka, shaqooyinka dadweynaha, iyo xitaa guurka."
6810e37ec93e59710861dfa8,Shilpa Sayura’s simple interactive means of self study caters to students in remote communities with no access to urban educational resources.,Habka fudud ee is-dhexgalka ah ee waxbarashada ee Shilpa Sayura waxa uu u adeegaa ardayda ku nool bulshooyinka fogfog ee aan helin agabka waxbarasho ee magaalooyinka.
6810e37ec93e59710861dfa9,"After college, I worked as a news writer in Jakarta, then as assistant journalist in a foreign news agency in Bali.","Ka dib kulliyadda, waxaan ka shaqeeyay qoraa wararka Jakarta, ka dibna kaaliye wariye oo ka tirsan wakaalad wararka ajnabiga ah oo ku taal Bali."
6810e37ec93e59710861dfaa,"I have mixed feelings about this, but one of the good points is that at least we can spare the forests.","Waxaan dareemayaa dareen isku dhafan oo ku saabsan arrintan, laakiin mid ka mid ah qodobbada wanaagsan ayaa ah in ugu yaraan aan badbaadin karno kaymaha."
6810e37ec93e59710861dfab,There are a number of technologies that allow organizations to put micro-blogging to their own use to facilitate community building online.,Waxaa jira tiro teknoolojiyado ah oo u oggolaanaya ururada inay adeegsadaan bar-kulan yar-yar si ay u fududeeyaan dhismaha bulshada khadka tooska ah.
6810e37ec93e59710861dfac,The organisation is operated by young people aged ten to thirty-five years and adult partners working on youth-and development-related issues worldwide.,Ururka waxaa maamula dhalinyaro da'doodu u dhaxayso toban ilaa shan iyo soddon sano iyo la-hawlgalayaal qaangaar ah oo ka shaqeeya arrimaha la xiriira dhalinyarada iyo horumarka adduunka oo dhan.
6810e37ec93e59710861dfad,You can see that the site is divided into two parts: one for the volunteers and the other for the organizations.,Waxaad arki kartaa in boggu u qaybsan yahay laba qaybood: mid loogu talagalay mutadawiciinta iyo midda kale loogu talagalay ururada.
6810e37ec93e59710861dfae,I hope to specialize in migration issues in future and continue to connect with youth everywhere to take action for change.,Waxaan rajeynayaa inaan mustaqbalka ku takhasuso arrimaha socdaalka oo aan sii wado isku xirka dhalinyarada meel kasta si ay u qaadaan tallaabo isbeddel.
6810e37ec93e59710861dfaf,"Harare based blogger and Global Voices Author, Denford Magora, explains where the real political power lies in the new government structure.","Denford Magora, oo ah qoraa ku sugan Harare isla markaana ah qoraa ka tirsan Global Voices, ayaa sharraxaya halka ay awoodda siyaasadeed ee dhabta ahi ka jirto qaab-dhismeedka cusub ee dowladda."
6810e37ec93e59710861dfb0,Ghana was ranked the seventh-best country on the continent for good governance according to the 2009 Ibrahim Index of African Governance.,"Sida laga soo xigtay Tusmada Maamulka Afrika ee Ibrahim ee 2009, Ghana waxaa lagu qiimeeyay waddanka toddobaad ee ugu wanaagsan qaaradda marka la eego maamul wanaagga."
6810e37ec93e59710861dfb1,"Also new in the Mozambican online world is the blog of President Armando Guebuza, who is running for a second term.","Sidoo kale wax cusub oo ku soo kordhay adduunka internetka ee Mozambique waa baloogga Madaxweyne Armando Guebuza, kaasoo u tartamaya xilkiisa labaad."
6810e37ec93e59710861dfb2,This term has been introduced for the first time in 2004 to refer to the birth of bloggers community in Morocco.,Ereygan waxaa markii ugu horreysay la soo bandhigay sanadkii 2004 si loogu tilmaamo dhalashada bulshada baloogleyda ee Morocco.
6810e37ec93e59710861dfb3,"Timbuktu Chronicles  is written by Nigerian-born entrepreneur Emeka Okafor, not to be confused with the NBA basketball player named Emeka Okafor.","Timbuktu Chronicles waxaa qoray ganacsadaha reer Nigeria Emeka Okafor, oo aan lagu khaldin ciyaaryahanka kubbadda kolayga ee NBA ee lagu magacaabo Emeka Okafor."
6810e37ec93e59710861dfb4,If you have suggestions for case studies that we should document and evaluate please get in touch via our contact page.,Haddii aad hayso talooyin ku saabsan daraasadaha kiisaska ee ay tahay inaanu diiwaan gelino oo aanu qiimayno fadlan nala soo xiriir boggayaga xiriirka.
6810e37ec93e59710861dfb5,The only specific types of online content referenced in the draft are “terrorist material” (no definition offered) and content under copyright.,"Noocyada gaarka ah ee kaliya ee macluumaadka internetka ee lagu sheegay qabyo-qoraalka waa ""agab argagixiso"" (ma jiraan qeexitaan la bixiyay) iyo macluumaadka xuquuqda daabacaadda."
