english,somali,Dataset_ID
English sentence 1,Somali sentence 1,4457
English sentence 2,Somali sentence 2,2012
English sentence 3,Somali sentence 3,5411
English sentence 4,Somali sentence 4,1949
English sentence 5,Somali sentence 5,3793
English sentence 6,Somali sentence 6,8599
English sentence 7,Somali sentence 7,8083
English sentence 8,Somali sentence 8,4013
English sentence 9,Somali sentence 9,4532
English sentence 10,Somali sentence 10,1153
English sentence 11,Somali sentence 11,4147
English sentence 12,Somali sentence 12,6660
English sentence 13,Somali sentence 13,6203
English sentence 14,Somali sentence 14,2289
English sentence 15,Somali sentence 15,5969
English sentence 16,Somali sentence 16,2352
English sentence 17,Somali sentence 17,4252
English sentence 18,Somali sentence 18,8700
English sentence 19,Somali sentence 19,2824
English sentence 20,Somali sentence 20,4024
English sentence 21,Somali sentence 21,4571
English sentence 22,Somali sentence 22,6850
English sentence 23,Somali sentence 23,7127
English sentence 24,Somali sentence 24,4779
English sentence 25,Somali sentence 25,5312
English sentence 26,Somali sentence 26,8344
English sentence 27,Somali sentence 27,6603
English sentence 28,Somali sentence 28,7080
English sentence 29,Somali sentence 29,5315
English sentence 30,Somali sentence 30,4869
English sentence 31,Somali sentence 31,5267
English sentence 32,Somali sentence 32,7792
English sentence 33,Somali sentence 33,4946
English sentence 34,Somali sentence 34,2843
English sentence 35,Somali sentence 35,5533
English sentence 36,Somali sentence 36,2714
English sentence 37,Somali sentence 37,9504
English sentence 38,Somali sentence 38,9607
English sentence 39,Somali sentence 39,2179
English sentence 40,Somali sentence 40,5334
